Size  | Bubble   | Insert  | Gnome   |
1000  | 0.234375000000000    | 0.000000000000000    | 0.000000000000000    |
2000  | 0.765625000000000    | 0.000000000000000    | 0.000000000000000    |
3000  | 1.645833333333333    | 0.000000000000000    | 0.000000000000000    |
4000  | 3.302083333333333    | 0.000000000000000    | 0.000000000000000    |
5000  | 6.036458333333333    | 0.005208333333333    | 0.000000000000000    |
6000  | 10.223958333333334    | 0.005208333333333    | 0.005208333333333    |
7000  | 15.781250000000000    | 0.010416666666667    | 0.005208333333333    |
8000  | 23.062500000000000    | 0.010416666666667    | 0.010416666666667    |
9000  | 31.989583333333332    | 0.015625000000000    | 0.010416666666667    |
10000  | 42.796875000000000    | 0.015625000000000    | 0.015625000000000    |
